case_id,holding_id,total_citations,internal_citations,external_citations,precedent_direction_score,predominantly_pro_ds_precedents,cites_gc_precedent,precedent_purpose_rate,avg_cited_pagerank,max_cited_pagerank,citing_case_pagerank,citing_case_in_degree,citing_case_authority
C-667/21,2,1,1,0,0.5,0.0,0,0.5,0.010426139035024604,0.010426139035024604,0.015904796295798822,9,0.10391041268830703
C-667/21,3,2,1,1,0.625,1.0,1,0.75,0.023100926094618515,0.023100926094618515,0.015904796295798822,9,0.10391041268830703
C-667/21,4,1,1,0,0.3333333333333333,0.0,0,0.3333333333333333,0.03530205830399602,0.03530205830399602,0.015904796295798822,9,0.10391041268830703
C-667/21,5,2,2,0,0.5,0.0,0,0.6666666666666666,0.026679057420336022,0.03530205830399602,0.015904796295798822,9,0.10391041268830703
C-673/17,1,6,0,6,,,0,,,,0.02937059759992612,4,0.007331628269433883
C-673/17,2,0,0,0,,,0,,,,0.02937059759992612,4,0.007331628269433883
C-673/17,3,0,0,0,,,0,,,,0.02937059759992612,4,0.007331628269433883
C-683/21,1,3,1,2,1.0,1.0,0,1.0,0.026927333914559114,0.026927333914559114,0.02313723659639132,7,0.00699195920104718
C-683/21,2,3,0,3,,,0,,,,0.02313723659639132,7,0.00699195920104718
C-683/21,3,1,1,0,0.6666666666666666,1.0,0,1.0,0.04301638548020276,0.04301638548020276,0.02313723659639132,7,0.00699195920104718
C-683/21,4,7,2,5,0.6666666666666666,1.0,0,0.6666666666666666,0.031114696109277567,0.03530205830399602,0.02313723659639132,7,0.00699195920104718
C-687/21,1,1,1,0,0.6666666666666666,1.0,0,1.0,0.018056056536676027,0.018056056536676027,0.011367550556675262,7,0.057754678344606084
C-687/21,2,2,2,0,0.26666666666666666,0.0,0,0.3666666666666667,0.02560342729989742,0.03530205830399602,0.011367550556675262,7,0.057754678344606084
C-687/21,3,1,1,0,0.2,0.0,0,0.4,0.015904796295798822,0.015904796295798822,0.011367550556675262,7,0.057754678344606084
C-687/21,4,4,4,0,0.3,0.0,0,0.6833333333333332,0.019537225161439346,0.03530205830399602,0.011367550556675262,7,0.057754678344606084
C-687/21,5,3,3,0,0.3333333333333333,0.0,0,0.7777777777777777,0.020748034783319522,0.03530205830399602,0.011367550556675262,7,0.057754678344606084
C-710/23,1,5,4,1,0.7916666666666666,1.0,0,0.9583333333333334,0.008956088936256922,0.013128052124359621,0.005712196057766822,1,0.006771761243986266
C-710/23,2,5,3,2,0.5666666666666667,1.0,0,0.6333333333333333,0.011954992485084257,0.015904796295798822,0.005712196057766822,1,0.006771761243986266
C-740/22,1,4,2,2,0.6666666666666666,1.0,0,0.8333333333333333,0.03031207873188245,0.04301638548020276,0.006055267472223557,1,0.0013769119320371217
C-740/22,2,5,4,1,0.6875,1.0,1,0.625,0.02872789425979644,0.0894259145658621,0.006055267472223557,1,0.0013769119320371217
C-741/21,1,2,2,0,0.16666666666666666,0.0,0,0.3666666666666667,0.023334804430335643,0.03530205830399602,0.010429512150068928,4,0.098982128200063
C-741/21,2,3,3,0,0.5111111111111111,1.0,0,0.6888888888888888,0.017189541605345665,0.018056056536676027,0.010429512150068928,4,0.098982128200063
C-741/21,3,2,2,0,0.1,0.0,0,0.4,0.013636173426237042,0.015904796295798822,0.010429512150068928,4,0.098982128200063
C-757/22,1,8,5,3,0.6666666666666666,1.0,0,0.8333333333333333,0.023723890914587806,0.04301638548020276,0.00921197393427468,3,0.0035135716449446065
C-768/21,1,5,3,2,0.85,1.0,1,0.8333333333333334,0.050604773726969275,0.12140636894604184,0.005665452655464972,1,0.0019716202602970837
C-77/21,1,5,2,3,0.7333333333333334,1.0,1,1.0,0.0822113772131223,0.12140636894604184,0.010474250248116023,3,0.0025771619793415607
